"chrom","start.pos","end.pos","n.probes","GSM2402992_6929689149_R03C02","GSM2403203_6929806046_R03C01","GSM2403211_6929806048_R06C01","GSM2403807_9296930076_R05C01","GSM2403858_9305651016_R04C01","GSM2403863_9305651027_R03C01","GSM2403970_6026818091_R02C01","GSM2404048_9373550131_R06C02","GSM2404050_9373550028_R05C01","GSM2404893_9968646139_R04C02","GSM2404924_9969477003_R01C02"
"1",1,521369,249150001,1593,0.048,0.046,0.053,0.056,0.052,0.075,0.036,0.073,0.057,0.043,0.061
"2",2,10001,242950001,1282,0.01,0.009,-0.02,0.081,0.031,0.037,-0.013,0.017,0.165,0.002,-0.017
"3",3,60001,197700001,978,0.037,0.024,-0.021,0.125,0.029,0.044,-0.005,0.051,0.303,0.005,-0.056
"4",4,10001,190900001,742,-0.045,-0.049,-0.08,0.001,-0.003,-0.005,-0.08,-0.056,-0.012,-0.049,-0.018
"5",5,10001,180650001,849,0.031,0.022,-0.014,0.082,0.035,0.058,-0.008,0.041,0.16,0.013,-0.016
"6",6,60001,170850001,988,0.017,0.015,-0.039,0.111,0.03,0.04,0.005,0.015,0.239,-0.005,-0.064
"7",7,10001,158950001,952,0.074,0.054,-0.002,0.167,0.051,0.063,0.019,0.083,0.349,0.033,-0.049
"8",8,10001,146250001,726,0.021,0.019,-0.005,0.071,0.036,0.057,-0.011,0.026,0.144,0.01,0.016
"9",9,10001,141000001,383,0.037,0.033,0.034,0.07,0.037,0.052,0.01,0.065,0.151,0.03,0.013
"10",10,60001,135400001,840,0.038,0.031,0.022,0.106,0.045,0.071,0.014,0.068,0.198,0.029,0.011
"11",11,60001,134800001,914,0.16,0.039,0.015,0.099,0.019,0.052,0.145,0.058,0.217,0.025,-0.027
"12",12,145740,133700001,848,0.039,0.032,0.008,0.091,0.032,0.046,0.033,0.056,0.16,0.022,0.001
"13",13,19020001,115050001,431,0.053,0.028,-0.084,0.245,0.043,0.041,-0.006,0.03,0.572,-0.017,-0.156
"14",14,19000001,106950001,528,0.027,0.026,0.034,0.039,0.053,0.073,0.04,0.055,0.001,0.035,0.063
"15",15,20000001,102300001,571,0.034,0.033,0.046,0.054,0.053,0.08,0.052,0.065,0.062,0.037,0.074
"16",16,60001,90150001,624,0.046,0.045,0.047,0.126,0.02,0.037,0.068,0.069,0.239,0.034,0.005
"17",17,1,81050001,814,-0.063,-0.043,0.008,-0.065,-0.042,-0.039,-0.004,-0.043,-0.139,-0.028,0.061
"18",18,10001,77950001,243,-0.116,-0.091,-0.065,-0.089,-0.035,-0.043,-0.07,-0.116,-0.267,-0.064,0.064
"19",19,60001,59050001,711,-0.002,-0.006,0.022,0.002,-0.036,-0.043,0.028,0.009,-0.022,-0.002,0.016
"20",20,60001,62850001,359,0.003,0.012,0.009,0.011,-0.034,-0.011,0.037,-0.009,0.02,-0.001,-0.021
"21",21,10697897,48050001,157,0.008,0.006,0.001,0.065,0.012,0.017,0.022,0.03,0.111,0.01,0.022
"22",22,16050001,51200001,300,-0.131,-0.004,0.069,-0.25,-0.273,-0.317,0.025,0.049,-0.125,-0.111,0.077
